,rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers,duracao_min,Categoria_Duracao,anoLançamento,titulo_maiusculo
37,38,American History X,1998-01-01,8.5,"Crime,Drama",R,1h 59m,His father taught him to hate. His friends taught him rage. His enemies gave him hope.,20000000,23875127,"Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee,Fairuza Balk,Avery Brooks,Elliott Gould,Stacy Keach,William Russ,Guy Torry,Joe Cortese,Jason Bose Smith,Antonio David Lyons,Alex Sol,Keram Malicki-Sánchez,Giuseppe Andrews,Michelle Christine White",Tony Kaye,David McKenna,119,MÉDIO,1998,AMERICAN HISTORY X
50,51,Alien,1979-01-01,8.5,"Horror,Sci-Fi",R,1h 57m,In space no one can hear you scream.,11000000,106285522,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Harry Dean Stanton,Ian Holm,Yaphet Kotto,Bolaji Badejo,Helen Horton,Eddie Powell",Ridley Scott,"Dan O'Bannon,Ronald Shusett",117,MÉDIO,1979,ALIEN
52,53,Apocalypse Now,1979-01-01,8.5,"Drama,Mystery,War",R,2h 27m,The Horror. . . The Horror. . .,31500000,104880868,"Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Sam Bottoms,Laurence Fishburne,Albert Hall,Harrison Ford,Dennis Hopper,G.D. Spradlin,Jerry Ziesmer,Scott Glenn,Bo Byers,James Keane,Kerry Rossall,Ron McQueen,Tom Mason,Cynthia Wood",Francis Ford Coppola,"John Milius,Francis Ford Coppola,Michael Herr",147,MÉDIO,1979,APOCALYPSE NOW
62,63,Avengers: Infinity War,2018-01-01,8.4,"Action,Adventure,Sci-Fi",PG-13,2h 29m,An entire universe. Once and for all.,321000000,2052415039,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Don Cheadle,Benedict Cumberbatch,Tom Holland,Chadwick Boseman,Zoe Saldana,Karen Gillan,Tom Hiddleston,Paul Bettany,Elizabeth Olsen,Anthony Mackie,Sebastian Stan,Idris Elba,Danai Gurira","Anthony Russo,Joe Russo","Christopher Markus,Stephen McFeely,Stan Lee",149,MÉDIO,2018,AVENGERS: INFINITY WAR
64,65,Aliens,1986-01-01,8.4,"Action,Adventure,Sci-Fi",R,2h 17m,This time there's more.,18500000,131060248,"Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,Lance Henriksen,Bill Paxton,William Hope,Jenette Goldstein,Al Matthews,Mark Rolston,Ricco Ross,Colette Hiller,Daniel Kash,Cynthia Dale Scott,Tip Tipping,Trevor Steedman,Paul Maxwell,Valerie Colgan",James Cameron,"James Cameron,David Giler,Walter Hill",137,MÉDIO,1986,ALIENS
66,67,American Beauty,1999-01-01,8.4,Drama,R,2h 2m,... look closer,15000000,356296601,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Peter Gallagher,Allison Janney,Chris Cooper,Scott Bakula,Sam Robards,Barry Del Sherman,Ara Celi,John Cho,Fort Atkinson,Sue Casey,Kent Faulcon,Brenda Wehle,Lisa Cloud",Sam Mendes,Alan Ball,122,MÉDIO,1999,AMERICAN BEAUTY
71,72,Amadeus,1984-01-01,8.4,"Biography,Drama,Music",PG,2h 40m,The man... The music... The madness... The murder... The motion picture...,18000000,52066791,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,Simon Callow,Christine Ebersole,Jeffrey Jones,Charles Kay,Kenneth McMillan,Kenny Baker,Lisbeth Bartlett,Barbara Bryne,Martin Cavina,Roderick Cook,Milan Demjanenko,Peter DiGesu,Richard Frank,Patrick Hines",Milos Forman,"Peter Shaffer,Zdenek Mahler",160,LONGO,1984,AMADEUS
77,78,Avengers: Endgame,2019-01-01,8.4,"Action,Adventure,Drama",PG-13,3h 1m,Avenge the fallen.,356000000,2799439100,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson,Jeremy Renner,Don Cheadle,Paul Rudd,Benedict Cumberbatch,Chadwick Boseman,Brie Larson,Tom Holland,Karen Gillan,Zoe Saldana,Evangeline Lilly,Tessa Thompson,Rene Russo,Elizabeth Olsen","Anthony Russo,Joe Russo","Christopher Markus,Stephen McFeely,Stan Lee",181,LONGO,2019,AVENGERS: ENDGAME
100,101,Amélie,2001-01-01,8.3,"Comedy,Romance",R,2h 2m,One person can change your life forever.,10000000,174122191,"Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,Serge Merlin,Jamel Debbouze,Clotilde Mollet,Claire Maurier,Isabelle Nanty,Dominique Pinon,Artus de Penguern,Yolande Moreau,Urbain Cancelier,Maurice Bénichou,Michel Robin,Andrée Damant,Claude Perron,Armelle",Jean-Pierre Jeunet,"Guillaume Laurant,Jean-Pierre Jeunet",122,MÉDIO,2001,AMÉLIE
102,103,A Clockwork Orange,1971-01-01,8.3,"Crime,Sci-Fi",X,2h 16m,"Being the adventures of a young man ... who couldn't resist pretty girls ... or a bit of the old ultra-violence ... went to jail, was re-conditioned ... and came out a different young man ... or was he ?",2200000,26960374,"Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,John Clive,Adrienne Corri,Carl Duering,Paul Farrell,Clive Francis,Michael Gover,Miriam Karlin,James Marcus,Aubrey Morris,Godfrey Quigley,Sheila Raynor,Madge Ryan,John Savident,Anthony Sharp",Stanley Kubrick,"Stanley Kubrick,Anthony Burgess",136,MÉDIO,1971,A CLOCKWORK ORANGE
